ID,Type,Time,percent
ApoA2_HDL_2,EDTA,4,4.941912026
ApoA2_HDL_2,EDTA,6,1.878725196
ApoA2_HDL_2,EDTA,8,8.74637964
ApoA2_HDL_3,EDTA,2,1.956757986
ApoA2_HDL_3,EDTA,4,5.783065012
ApoA2_HDL_3,EDTA,6,6.154081357
ApoA2_HDL_3,EDTA,8,12.45318618
ApoA2_HDL_4,EDTA,2,1.868091834
ApoA2_HDL_4,EDTA,4,5.693627792
ApoA2_HDL_4,EDTA,6,6.810481304
ApoA2_HDL_4,EDTA,8,12.4126666
alanine,Serum,2,4.835625171
alanine,Serum,4,5.00127801
alanine,Serum,6,9.349235572
alanine,Serum,8,11.8801419
creatinine,Serum,2,4.035752337
creatinine,Serum,4,16.37396167
creatinine,Serum,6,12.48592617
creatinine,Serum,8,5.133369699
glutamine,Serum,2,0.128810823
glutamine,Serum,4,6.819840535
glutamine,Serum,6,10.52129922
glutamine,Serum,8,17.55876024
glycine,Serum,2,0.536744548
glycine,Serum,4,-3.225790301
glycine,Serum,6,8.2563684
glycine,Serum,8,12.42433752
histidine,Serum,2,6.115991718
histidine,Serum,4,10.36595914
histidine,Serum,6,8.207402243
histidine,Serum,8,12.27569531
isoleucine,Serum,2,-0.610100738
isoleucine,Serum,4,2.324943347
isoleucine,Serum,6,-0.000936314
isoleucine,Serum,8,7.445702225
leucine,Serum,2,10.48529933
leucine,Serum,4,2.901565451
leucine,Serum,6,10.3363074
leucine,Serum,8,11.41343186
lysine,Serum,2,0.638750718
lysine,Serum,4,11.53001012
lysine,Serum,6,13.58497308
lysine,Serum,8,12.37345986
phenylalanine,Serum,2,-8.216202167
phenylalanine,Serum,4,-11.88634189
phenylalanine,Serum,6,-2.334802315
phenylalanine,Serum,8,1.362557385
tyrosine,Serum,2,3.590484644
tyrosine,Serum,4,10.3921544
tyrosine,Serum,6,11.41099374
tyrosine,Serum,8,13.95736695
valine,Serum,2,6.540221083
valine,Serum,4,6.875445909
valine,Serum,6,7.542316479
valine,Serum,8,12.64415441
citric_acid,Serum,2,-23.78736732
citric_acid,Serum,4,-25.94957413
citric_acid,Serum,6,-14.28865785
citric_acid,Serum,8,-63.64230252
lactic_acid,Serum,2,-8.963881678
lactic_acid,Serum,4,-8.424460798
lactic_acid,Serum,6,0.746672024
lactic_acid,Serum,8,3.656859174
acetone,Serum,2,-6.468719664
acetone,Serum,4,18.58423589
acetone,Serum,6,13.63027569
acetone,Serum,8,7.73118213
pyruvic_acid,Serum,2,8.182729867
pyruvic_acid,Serum,4,-0.708500636
pyruvic_acid,Serum,6,-14.39250058
pyruvic_acid,Serum,8,-11.35075696
glucose,Serum,2,4.794993954
glucose,Serum,4,11.67130189
glucose,Serum,6,13.84547345
glucose,Serum,8,18.51222999
TG,Serum,2,2.230726754
TG,Serum,4,8.01784907
TG,Serum,6,5.71544416
TG,Serum,8,9.76911177
CHOL,Serum,2,3.432036378
CHOL,Serum,4,8.562446321
CHOL,Serum,6,9.519793209
CHOL,Serum,8,13.27286836
LDL_CHOL,Serum,2,4.809220102
LDL_CHOL,Serum,4,8.833414014
LDL_CHOL,Serum,6,12.62117969
LDL_CHOL,Serum,8,14.92099157
HDL_CHOL,Serum,2,2.358750646
HDL_CHOL,Serum,4,1.828986009
HDL_CHOL,Serum,6,7.05308633
HDL_CHOL,Serum,8,7.544421188
ApoA1,Serum,2,2.837965258
ApoA1,Serum,4,7.395467911
ApoA1,Serum,6,8.220756089
ApoA1,Serum,8,12.67549077
ApoA2,Serum,2,4.256706037
ApoA2,Serum,4,7.226155376
ApoA2,Serum,6,11.18518617
ApoA2,Serum,8,14.85467468
ApoB100,Serum,2,4.148686428
ApoB100,Serum,4,11.1188796
ApoB100,Serum,6,10.11966491
ApoB100,Serum,8,16.03969587
LDL_CHOL_HDL_CHOL,Serum,2,3.45594586
LDL_CHOL_HDL_CHOL,Serum,4,7.798604141
LDL_CHOL_HDL_CHOL,Serum,6,7.833676865
LDL_CHOL_HDL_CHOL,Serum,8,9.958638244
Apo.B100_ApoA1,Serum,2,2.376947013
Apo.B100_ApoA1,Serum,4,5.234579003
Apo.B100_ApoA1,Serum,6,4.958784021
Apo.B100_ApoA1,Serum,8,6.219151037
Total_Particles_ApoB,Serum,2,4.147473231
Total_Particles_ApoB,Serum,4,11.1157445
Total_Particles_ApoB,Serum,6,10.11753196
Total_Particles_ApoB,Serum,8,16.03845081
VLDL_Particles,Serum,2,0.160366748
VLDL_Particles,Serum,4,2.249882431
VLDL_Particles,Serum,6,1.243479747
VLDL_Particles,Serum,8,3.784384035
IDL_Particles,Serum,2,5.524655687
IDL_Particles,Serum,4,13.85102805
IDL_Particles,Serum,6,13.4359503
IDL_Particles,Serum,8,19.7693105
LDL_Particles,Serum,2,4.856509638
LDL_Particles,Serum,4,10.54614778
LDL_Particles,Serum,6,11.51366443
